No,Dok.,Ulasan,Ground Truth,Pediksi,Sesuai
1,498,"Hanya sebagai peringatan, jika anda suka bir setelah perjalanan panjang untuk mendapatkan di sini - mereka tidak menjual. Ini's pada menu jadi tampak seperti hal yang baru.. Ada yang luar biasa tapi tidak ada Pizzaria pizza untuk pergi dengan minuman yang bijaksana. . Hotel pertama yang saya pernah seperti ini. ",negatif,positif,0
2,506,"Awalnya kami kagum dengan hotel ini dan fasilitas... meskipun hanya sebuah reuni hari... di aula serbaguna kami disajikan dengan keramahan Albalone ah yat... yang sangat bagus dan makanan yang baik dan mereka disediakan... Namun kamar kedap suara sangat miskin... saya bisa mendengar orang dari luar kamar jelas dan juga masyarakat dari luar kamar dapat terdengar terlalu... hari berikutnya, kami memperpanjang kunjungan kami mengalami pemadaman listrik, dan memiliki beberapa... pertama adalah dari perusahaan listrik nasional yang memiliki pemeliharaan rutin... hanya butuh waktu 30 menit untuk melakukan... namun kami memiliki masalah listrik hingga 9 p.m di atas... kami dengan bayi yang sangat terganggu dengan masalah listrik... dan tidak ada appologies dari hotel pada hari... sangat buruk... kami menginap di kamar 315 317 323",negatif,negatif,1
3,527,"ketika kami check in, kamar belum siap, jadi kami harus menginap di salah satu kamar yang satu menjadi siap, dan mereka benar-benar siap di 4 jam. kami kelelahan dan berencana untuk menikmati kolam renang oleh 4 jam, tetapi karena penundaan ini, rencana liburan yang sangat kacau.

karena kamar tidak siap, kami meminta untuk check out terlambat, mereka setuju di hari pertama.
namun ketika waktu check out, kami melaporkan bahwa kami ingin terlambat check out, resepsionis mencoba untuk bernegosiasi dengan pertama tidak ada late check out, sampai jam 1 dan kedua hanya hanya 2 kamar, dan memberitahu kami bahwa kami bisa mendapatkan biaya jika lebih dari 1pm, kemudian kami meminta kompensasi dari keterlambatan check-in kami jika kita tidak mendapatkan untuk 2 jam terlambat check out, maka akhirnya mereka memberi kami terlambat check-in sampai 2 jam... hal ini sangat melelahkan dan kecewa untuk suasana liburan.

kolam renang adalah penuh sesak pada akhir pekan dan itu adalah tidak kesalahan hotel, tapi aku melihat beberapa anak-anak muntah di dalam kolam renang dan di sisi lain muntah di kolam renang, untungnya aku tidak melompat lagi.
tapi kolam renang suasana menyenangkan. Aku suka tempat ini.

secara keseluruhan. Saya suka properti, ini adalah proses check in dan check out yang masalah.",negatif,negatif,1
4,541,"3 juni 2016 02:45. . Pada bulan januari lalu saya di harris, itu harus menjadi baik. Pertama, lokasi mereka tidak benar-benar baik. Karena persis di tikungan dan agak sempit. Tapi pertama anda akhirnya datang, itu bagus. Banyak pohon, tenang, dan cukup. Saya dan teman-teman berlibur di malang, jadi ketika kita berada di liburan kami hanya menyewa sepeda motor. Hal yang buruk adalah harris tidak menyediakan area parkir untuk sepeda motor dengan kondisi yang baik. Maksud saya, ini harus di bld, tidak di luar ruangan. Dan butuh waktu untuk mencapai lobi dengan berjalan kaki. Jujur itu baik, tapi aku kecewa pada saat pertama aku tahu itu adalah di luar tidak di dalam bld, dapat anda bayangkan apa yang terjadi saat hujan? Tidak keren. Masalah lain adalah kami membawa lugagge tidak backpacker. Jika hanya ada di dalam bld itu akan menjadi baik. Masalah kedua ketika kami sudah di lobi adalah musik tidak cocok untuk sebuah hotel seperti ini di tempat lain HAHAHA . Ini harus menjadi sesuatu seperti nosaj-akuarium atau sesuatu seperti itu tidak seperti band indonesia di lobi hotel kami tidak terasa seperti di toko atau sesuatu seperti itu. Serius, lobi hotel? Orang u bercanda. Ini adalah pertama kalinya saya pergi ke hotel dengan musik yang seharusnya tidak akan bermain. Kamar sangat bagus tapi mereka sudah memperbaiki sesuatu (yang ada di kamar) di depan kamar saya. Pemanas air untuk semua waktu favorit tamu, yass ada. Terima Kasih, Tuhan. Kolam renang cukup ok. Di pagi hari saya dan boyf menyewa sepeda untuk bermain-main dengan itu, keren.. ",negatif,positif,0
5,560,"Lokasi adalah kekurangan utama dari hotel ini. Hal ini bisa memakan waktu 30 - 45 menit untuk sampai ke pusat kota tergantung pada lalu lintas. Jika anda tidak memiliki kendaraan anda sendiri anda ca memiliki taksi dengan meminta di meja depan.. . Hotel ini sangat bagus hanya untuk konvensi. Resepsionis tidak ramah dan dingin. Rasa makanan biasa saja, butuh lebih dari 30 menit untuk pisang goreng makanan ringan ketika mereka tidak sibuk.. . Kamar bersih dan standar. Tapi lebih baik tinggal di kota malang atau batu untuk pilihan yang lebih baik jika anda berada di liburan.. ",negatif,negatif,1
6,563,"Tinggal selama 3 malam dengan keluarga. Saya memesan suite 1 dan 1 kamar reguler. Kamar mandi di suite adalah sangat mengerikan. Kamar mandi dikombinasikan dengan bak mandi (? ), dan setiap kali kita menggunakan air tumpah keluar dari bak mandi lembidang, mengalir ke lantai dan tentu saja menjadikan. basah tidak cukup untuk 2 keset kamar mandi untuk menjaga lantai kering, dan ketika saya bertanya untuk tambahan satu saya diberitahu bahwa dengan biaya yang akan diberlakukan. Biaya tambahan untuk keset kamar mandi? Itu baik, kecuali mereka bisa menunjukkan cara menggunakan pancuran dan tetap memapani juga! Jika sarapan pada 1 januari dan restoran itu penuh dengan tamu. Saya mengerti itu adalah musim liburan, tapi ada sesuatu yang seperti ini harus diakui sebelumnya dan mereka harus memiliki lebih banyak area tempat duduk terbuka. Setelah melihat beberapa tamu yang berdiri menunggu kursi, 2 hotel seperti tempat mereka. Ini adalah indah jadi kami pergi keluar untuk beberapa yang lebih baik, hanya di 2nd hari itu lebih baik. Satu-satunya hal yang plus adalah sekitarnya hijau yang indah. Tidak akan mempertimbangkan untuk kembali lagi.",negatif,negatif,1
7,565,"aku suka lihat di harris malang, tapi kenapa aku hanya punya sarapan (hanya) satu sementara aku telah dibayar untuk dua kamar tidur dan ada adalah biaya tambahan untuk pelayan saya. dan tolong cepat ketika menyiapkan kolam ini, jadi saya tidak harus menunggu sampai 7 a.m",negatif,negatif,1
8,577,"Anda tidak akan menyesal untuk kolam renang untuk anak-anak. Aku memesan kamar dengan beberapa tempat tidur yang berbeda. Pertama, kata mereka, tergantung dari ketersediaan. Banyak toko-toko, mereka berkata: maaf, kita tidak memiliki masalah tidur di hotel bintang 4 ini. 

Saya bepergian dengan 2 anak-anak, kami ingin bertanya untuk handuk, mereka mengatakan bahwa kami harus membayar setiap hari, kami meminta tambahan bantal, mereka mengatakan mereka akan menagih untuk setiap hari. Kami stat untuk 4 malam dan 5 hari. Anak-anak saya ingin membuat susu sebelum tidur, ia menelepon ke hotel: "" saya bisa minta, ops maaf maksudku... bisa pinjam menjabal tambahan anda untuk membuat susu? "" 
Dan mereka berkata "" oh maaf, kami memperpicik setiap menjabal dan segala sesuatu di setiap kamar. jadi kita tidak bisa memiliki tempat lama. 

jadi, semua yang anda butuhkan di hotel harris ini, anda perlu membawa semua oleh diri sendiri, termasuk meminjam dengan google. Anda perlu untuk menyewa untuk setiap hari. 

Edisi terbatas untuk hotel bintang 4 yang terbatas. Segala sesuatu yang anda perlukan, berikan diri anda, karena mereka terbatas.",negatif,negatif,1
9,592,"Layanan sangat baik, fasilitas yang baik, nyaman. Kami merayakan ulang tahun istri saya, dan aku bertanya-tanya jika perubahan akan memberikan kami gratis sebuah kue ulang tahun kejutan. Dan mereka tidak memberi kami awal yang baik menunggu di dalam kamar ketika kami tiba di... pekerjaan bagus! 
Tapi...
- Akses wifi sangat mengerikan. sulit untuk masuk, tidak terhubung dengan mudah.
- Tidak ada pertandingan sepak bola di tv. itu adalah akhir pekan, hujan di luar, dan kami menghabiskan waktu di kamar. Kami suka menonton sepak bola yang cocok dengan...
- menu sarapan kurang beragam. Bubur ayam, anda disajikan setiap pagi. Mengapa? Kami benar-benar menghargai mereka pada tema untuk beberapa daging yang akan menyenangkan. Menambahkan beberapa makanan tradisional akan menyenangkan. Gado-gado salad baik, menyukai, atau yang lain...
- Sulit untuk mendapatkan mandi hangat yang bagus. Lebih mudah mendapatkan panas. Mencampur air panas dan dingin, sebenarnya tidak...",negatif,negatif,1
10,598,Baik bagi keluarga untuk bersantai namun tidak bagus untuk memiliki lebih baik pemeliharaan terpajaki inci khusus di kamar dan kamar mandi. Kamar tidak kedap suara. Berisik saat ada acara dan anak-anak berlari di koridor. Tidak banyak perubahan dalam menu sarapan. Bagus kopi,negatif,negatif,1
